[crawl-bbfb] sets total=3300 todo=3300 | apiCalls so far=807 budget=130000
Loading existing cardhedge ids...(node:411923) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
(Use `node --trace-warnings ...` to show where the warning was created)
 448,474
[WARN] slice still capped beyond 2x: "2024 Panini Prizm Football" search="null" expect=28055
[WARN] slice still capped beyond 2x: "2025 Panini Prizm Football" search="null" expect=33261
[WARN] slice still capped beyond 2x: "2025 Topps Chrome Football" search="null" expect=37286
[WARN] slice still capped beyond 2x: "2025 Topps Chrome Basketball" search="null" expect=29936
[112/3300] "2023 Topps Cosmic Chrome Basketball" +16685 | rows=1,482,427 calls=39,127 | 84.9min
[113/3300] "2025 Topps Holiday Basketball" +18819 | rows=1,486,055 calls=39,167 | 84.9min
[114/3300] "2014 Panini Excalibur Basketball" +17729 | rows=1,486,236 calls=39,167 | 84.9min
[115/3300] "2025 Panini Donruss WNBA Basketball" +18184 | rows=1,499,056 calls=39,297 | 85.7min
[116/3300] "2025 Topps Chrome Black Football" +18899 | rows=1,505,135 calls=39,355 | 85.9min
[117/3300] "2024 Panini Prizm Deca Basketball" +23447 | rows=1,505,874 calls=39,364 | 85.9min
[118/3300] "2024 Panini Encore Football" +10770 | rows=1,509,826 calls=39,394 | 85.9min
[119/3300] "2023 Panini Crown Royale Basketball" +26761 | rows=1,512,816 calls=39,414 | 85.9min
[120/3300] "2023 Panini Origins Football" +23030 | rows=1,528,165 calls=39,526 | 86.1min
[121/3300] "2023 Panini Prizm Turkish Airlines EuroLeague Basketball" +23540 | rows=1,529,414 calls=39,537 | 86.1min
